Accipitriformes;Accipitridae;532382;Circus approximans approximans;Busard de Gould;Circus approximans Peale, 1848
Accipitriformes;Accipitridae;432707;Circus approximans;Busard de Gould;Circus approximans Peale, 1848
Accipitriformes;Accipitridae;441775;Circus buffoni;Busard de Buffon ;Circus buffoni (Gmelin, 1788)
Accipitriformes;Accipitridae;2881;Circus cyaneus;Busard Saint-Martin;Circus cyaneus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2883;Falco cyaneus;Busard Saint-Martin;Circus cyaneus (Linnaeus, 1758)
Accipitriformes;Accipitridae;836343;Circus hudsonius;;Circus hudsonius (Linnaeus, 1766)
Accipitriformes;Accipitridae;418714;Circus macrosceles;Busard de Madagascar;Circus macrosceles Newton, 1863
Accipitriformes;Accipitridae;2886;Accipiter macrourus;Busard pâle;Circus macrourus (S. G. Gmelin, 1771)
Accipitriformes;Accipitridae;2884;Circus macrourus;Busard pâle;Circus macrourus (S. G. Gmelin, 1771)
Accipitriformes;Accipitridae;432596;Circus maillardi;Busard de Maillard;Circus maillardi J. Verreaux, 1862
Accipitriformes;Accipitridae;2887;Circus pygargus;Busard cendré;Circus pygargus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2889;Falco pygargus;Busard cendré;Circus pygargus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2641;Aquila clanga;Aigle criard;Clanga clanga (Pallas, 1811)
Accipitriformes;Accipitridae;836346;Clanga clanga;Aigle criard;Clanga clanga (Pallas, 1811)
Accipitriformes;Accipitridae;2636;Aquila pomarina;Aigle pomarin;Clanga pomarina (C. L. Brehm, 1831)
Accipitriformes;Accipitridae;836345;Clanga pomarina;Aigle pomarin;Clanga pomarina (C. L. Brehm, 1831)
Accipitriformes;Accipitridae;441888;Elanoides forficatus;Milan à queue fourchue, Naucler à queue fourchue;Elanoides forficatus (Linnaeus, 1758)
Accipitriformes;Accipitridae;828914;Falco forficatus;Milan à queue fourchue, Naucler à queue fourchue;Elanoides forficatus (Linnaeus, 1758)
Accipitriformes;Accipitridae;828916;Elanoides forficatus yetapa;;Elanoides forficatus yetapa (Vieillot, 1818)
Accipitriformes;Accipitridae;828920;Milvus yetapa;;Elanoides forficatus yetapa (Vieillot, 1818)
Accipitriformes;Accipitridae;2836;Elanus caeruleus;Élanion blanc;Elanus caeruleus (Desfontaines, 1789)
Accipitriformes;Accipitridae;2838;Falco caeruleus;Élanion blanc;Elanus caeruleus (Desfontaines, 1789)
Accipitriformes;Accipitridae;441889;Elanus leucurus;Élanion à queue blanche ;Elanus leucurus Vieillot, 1818
Accipitriformes;Accipitridae;441944;Gampsonyx swainsonii;Élanion perle ;Gampsonyx swainsonii Vigors, 1825
Accipitriformes;Accipitridae;441696;Buteo albicaudatus;Buse à queue blanche;Geranoaetus albicaudatus (Vieillot, 1816)
Accipitriformes;Accipitridae;720247;Geranoaetus albicaudatus;Buse à queue blanche;Geranoaetus albicaudatus (Vieillot, 1816)
Accipitriformes;Accipitridae;828824;Geranoaetus albicaudatus colonus;;Geranoaetus albicaudatus colonus Berlepsch, 1892
Accipitriformes;Accipitridae;441950;Geranospiza caerulescens;Buse échasse ;Geranospiza caerulescens (Vieillot, 1817)
Accipitriformes;Accipitridae;2852;Gypaetus barbatus;Gypaète barbu;Gypaetus barbatus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2854;Vultur barbatus;Gypaète barbu;Gypaetus barbatus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2860;Gyps fulvus;Vautour fauve;Gyps fulvus (Hablizl, 1783)
Accipitriformes;Accipitridae;2862;Vultur fulvus;Vautour fauve;Gyps fulvus (Hablizl, 1783)
Accipitriformes;Accipitridae;416705;Gyps melitensis;;Gyps melitensis 
Accipitriformes;Accipitridae;2850;Falco albicilla;Pygargue à queue blanche;Haliaeetus albicilla (Linnaeus, 1758)
Accipitriformes;Accipitridae;2848;Haliaeetus albicilla;Pygargue à queue blanche;Haliaeetus albicilla (Linnaeus, 1758)
Accipitriformes;Accipitridae;441967;Haliaeetus leucocephalus;Pygargue à tête blanche;Haliaeetus leucocephalus (Linnaeus, 1766)
Accipitriformes;Accipitridae;432706;Haliaeetus leucogaster;Aigle pêcheur à poitrine blanche;Haliaeetus leucogaster (Gmelin, 1788)
Accipitriformes;Accipitridae;441968;Haliastur sphenurus;Milan siffleur, Aigle siffleur;Haliastur sphenurus (Vieillot, 1818)
Accipitriformes;Accipitridae;441970;Harpagus bidentatus;Harpage bidenté, Milan bidenté;Harpagus bidentatus (Latham, 1790)
Accipitriformes;Accipitridae;441971;Harpagus diodon;;Harpagus diodon (Temminck, 1823)
Accipitriformes;Accipitridae;441972;Harpia harpyja;Harpie féroce;Harpia harpyja (Linnaeus, 1758)
Accipitriformes;Accipitridae;441973;Harpyhaliaetus solitarius;;Harpyhaliaetus solitarius (Tschudi, 1844)
Accipitriformes;Accipitridae;782561;Falco hamatus;Milan à long bec;Helicolestes hamatus (Temminck, 1821)
Accipitriformes;Accipitridae;459487;Helicolestes hamatus;Milan à long bec;Helicolestes hamatus (Temminck, 1821)
Accipitriformes;Accipitridae;442327;Rostrhamus hamatus;Milan à long bec;Helicolestes hamatus (Temminck, 1821)
Accipitriformes;Accipitridae;2654;Aquila pennata;Aigle botté;Hieraaetus pennatus (Gmelin, 1788)
Accipitriformes;Accipitridae;2653;Falco pennatus;Aigle botté;Hieraaetus pennatus (Gmelin, 1788)
Accipitriformes;Accipitridae;2651;Hieraaetus pennatus;Aigle botté;Hieraaetus pennatus (Gmelin, 1788)
Accipitriformes;Accipitridae;442010;Ictinia plumbea;Milan bleuâtre ;Ictinia plumbea (Gmelin, 1788)
Accipitriformes;Accipitridae;442030;Leptodon cayanensis;Milan de Cayenne, Bec-en-croc de Cayenne;Leptodon cayanensis (Latham, 1790)
Accipitriformes;Accipitridae;442035;Leucopternis melanops;Buse à face noire ;Leucopternis melanops (Latham, 1790)
Accipitriformes;Accipitridae;2842;Falco migrans;Milan noir;Milvus migrans (Boddaert, 1783)
Accipitriformes;Accipitridae;2843;Milvus korschun;Milan noir;Milvus migrans (Boddaert, 1783)
Accipitriformes;Accipitridae;2840;Milvus migrans;Milan noir;Milvus migrans (Boddaert, 1783)
Accipitriformes;Accipitridae;418713;Milvus migrans parasitus;Milan noir (à bec jaune);Milvus migrans parasitus Grant & Mackworth-Praed, 1933
Accipitriformes;Accipitridae;2846;Falco milvus;Milan royal;Milvus milvus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2844;Milvus milvus;Milan royal;Milvus milvus (Linnaeus, 1758)
Accipitriformes;Accipitridae;442085;Morphnus guianensis;Harpie huppée ;Morphnus guianensis (Daudin, 1800)
Accipitriformes;Accipitridae;2856;Neophron percnopterus;Vautour percnoptère;Neophron percnopterus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2858;Vultur perenopterus;Vautour percnoptère;Neophron percnopterus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2834;Falco apivorus;Bondrée apivore;Pernis apivorus (Linnaeus, 1758)
Accipitriformes;Accipitridae;2832;Pernis apivorus;Bondrée apivore;Pernis apivorus (Linnaeus, 1758)
Accipitriformes;Accipitridae;782643;Falco albicollis;Buse blanche;Pseudastur albicollis (Latham, 1790)
Accipitriformes;Accipitridae;442034;Leucopternis albicollis;Buse blanche;Pseudastur albicollis (Latham, 1790)
Accipitriformes;Accipitridae;720289;Pseudastur albicollis;Buse blanche;Pseudastur albicollis (Latham, 1790)
Accipitriformes;Accipitridae;442328;Rostrhamus sociabilis;Milan des marais ;Rostrhamus sociabilis (Vieillot, 1817)
Accipitriformes;Accipitridae;441700;Buteo magnirostris;Buse à gros bec;Rupornis magnirostris (Gmelin, 1788)
Accipitriformes;Accipitridae;782644;Falco magnirostris;Buse à gros bec;Rupornis magnirostris (Gmelin, 1788)
Accipitriformes;Accipitridae;720294;Rupornis magnirostris;Buse à gros bec;Rupornis magnirostris (Gmelin, 1788)
Accipitriformes;Accipitridae;782629;Buteo melanoleucus;Aigle noir et blanc;Spizaetus melanoleucus (Vieillot, 1816)
Accipitriformes;Accipitridae;459528;Spizaetus melanoleucus;Aigle noir et blanc;Spizaetus melanoleucus (Vieillot, 1816)
Accipitriformes;Accipitridae;442363;Spizastur melanoleucus;Aigle noir et blanc;Spizaetus melanoleucus (Vieillot, 1816)
Accipitriformes;Accipitridae;442361;Spizaetus ornatus;Aigle orné ;Spizaetus ornatus (Daudin, 1800)
Accipitriformes;Accipitridae;828921;Falco tyrannus;Aigle tyran ;Spizaetus tyrannus (Wied-Neuwied, 1820)
Accipitriformes;Accipitridae;442362;Spizaetus tyrannus;Aigle tyran ;Spizaetus tyrannus (Wied-Neuwied, 1820)
Accipitriformes;Accipitridae;828922;Spizaetus tyrannus serus;;Spizaetus tyrannus serus Friedmann, 1950
Accipitriformes;Accipitridae;2867;Aegypius tracheliotus;Vautour oricou;Torgos tracheliotus (J. R. Forster, 1791)
Accipitriformes;Accipitridae;459634;Torgos tracheliotos;Vautour oricou;Torgos tracheliotus (J. R. Forster, 1791)
Accipitriformes;Accipitridae;2864;Torgos tracheliotus;Vautour oricou;Torgos tracheliotus (J. R. Forster, 1791)
Accipitriformes;Accipitridae;2866;Vultur tracheliotus;Vautour oricou;Torgos tracheliotus (J. R. Forster, 1791)
Accipitriformes;Cathartidae;441730;Cathartes aura;Urubu à tête rouge, Vautour aura, Vautour à tête rouge;Cathartes aura (Linnaeus, 1758)
Accipitriformes;Cathartidae;828901;Vultur aura;Urubu à tête rouge, Vautour aura, Vautour à tête rouge;Cathartes aura (Linnaeus, 1758)
Accipitriformes;Cathartidae;828902;Cathartes aura ruficollis;;Cathartes aura ruficollis Spix, 1824
Accipitriformes;Cathartidae;441731;Cathartes burrovianus;Urubu à tête jaune ;Cathartes burrovianus Cassin, 1845
Accipitriformes;Cathartidae;829135;Cathartes burrovianus urubutinga;;Cathartes burrovianus urubutinga Pelzeln, 1861
Accipitriformes;Cathartidae;441732;Cathartes melambrotus;Grand Urubu ;Cathartes melambrotus Wetmore, 1964
Accipitriformes;Cathartidae;441816;Coragyps atratus;Urubu noir ;Coragyps atratus (Bechstein, 1793)
Accipitriformes;Cathartidae;828903;Vultur atratus;Urubu noir ;Coragyps atratus (Bechstein, 1793)
Accipitriformes;Cathartidae;828905;Cathartes brasiliensis;;Coragyps atratus brasiliensis (Bonaparte, 1850)
Accipitriformes;Cathartidae;828904;Coragyps atratus brasiliensis;;Coragyps atratus brasiliensis (Bonaparte, 1850)
Accipitriformes;Cathartidae;442337;Sarcoramphus papa;Sarcoramphe roi ;Sarcoramphus papa Linnaeus, 1758
Accipitriformes;Pandionidae;2662;Falco haliaetus;Balbuzard pêcheur;Pandion haliaetus (Linnaeus, 1758)
Accipitriformes;Pandionidae;2660;Pandion haliaetus;Balbuzard pêcheur;Pandion haliaetus (Linnaeus, 1758)
Accipitriformes;Pandionidae;625971;Pandion haliaetus carolinensis;;Pandion haliaetus carolinensis (Gmelin, 1788)
Accipitriformes;Pandionidae;432705;Pandion haliaetus cristatus;Balbuzard d'Australie, Buse de mer, Aigle pêcheur;Pandion haliaetus cristatus (Vieillot, 1816)
Accipitriformes;Pandionidae;625972;Pandion haliaetus ridgwayi;;Pandion haliaetus ridgwayi Maynard, 1887
Anseriformes;Anatidae;2776;Aix galericulata;Canard mandarin;Aix galericulata (Linnaeus, 1758)
Anseriformes;Anatidae;2775;Aix sponsa;Canard carolin, Canard branchu;Aix sponsa (Linnaeus, 1758)
Anseriformes;Anatidae;459626;Alopochen aegyptiaca;Ouette d'Égypte, Oie d'Égypte;Alopochen aegyptiacus (Linnaeus, 1766)
Anseriformes;Anatidae;2763;Alopochen aegyptiacus;Ouette d'Égypte, Oie d'Égypte;Alopochen aegyptiacus (Linnaeus, 1766)
Anseriformes;Anatidae;2765;Anas aegyptiaca;Ouette d'Égypte, Oie d'Égypte;Alopochen aegyptiacus (Linnaeus, 1766)
Anseriformes;Anatidae;459616;Alopochen kervazoi;;Alopochen kervazoi (G.S. Cowles, 1994)
Anseriformes;Anatidae;645631;Mascarenachen kervazoi;;Alopochen kervazoi (G.S. Cowles, 1994)
Anseriformes;Anatidae;1973;Anas acuta;Canard pilet;Anas acuta Linnaeus, 1758
Anseriformes;Anatidae;550537;Anas aucklandica aucklandica;Sarcelle de Nouvelle-Zélande;Anas aucklandica (G.R. Gray, 1844)
Anseriformes;Anatidae;456607;Anas aucklandica;Sarcelle de Nouvelle-Zélande;Anas aucklandica (G.R. Gray, 1844)
Anseriformes;Anatidae;550538;Anas aucklandica nesiotis;Sarcelle de Nouvelle-Zélande;Anas aucklandica (G.R. Gray, 1844)
Anseriformes;Anatidae;1948;Anas bahamensis;Canard des Bahamas, Pilet des Bahamas;Anas bahamensis Linnaeus, 1758
Anseriformes;Anatidae;1958;Anas crecca;Sarcelle d'hiver;Anas crecca Linnaeus, 1758
Anseriformes;Anatidae;199302;Anas carolinensis;Sarcelle à ailes vertes, Sarcelle de la Caroline;Anas crecca carolinensis Gmelin, 1789
Anseriformes;Anatidae;1961;Anas crecca carolinensis;Sarcelle à ailes vertes, Sarcelle de la Caroline;Anas crecca carolinensis Gmelin, 1789
Anseriformes;Anatidae;1960;Anas crecca crecca;Sarcelle d'hiver;Anas crecca crecca Linnaeus, 1758
Anseriformes;Anatidae;813479;Anas cyanoptera;Sarcelle cannelle;Anas cyanoptera Vieillot, 1816
Anseriformes;Anatidae;813480;Spatula cyanoptera;Sarcelle cannelle;Anas cyanoptera Vieillot, 1816
Anseriformes;Anatidae;432601;Anas eatoni;Canard d'Eaton;Anas eatoni (Sharpe, 1875)
Anseriformes;Anatidae;785484;Anas eatoni drygalskii;Canard de Crozet, Canard d'Eaton (Crozet);Anas eatoni drygalskii Reichenow, 1904
Anseriformes;Anatidae;785483;Anas eatoni eatoni;Canard des Kerguélen, Canard d'Eaton (Kerguélen);Anas eatoni eatoni (Sharpe, 1875)
Anseriformes;Anatidae;432700;Anas gracilis;Sarcelle australasienne, Sarcelle grise;Anas gracilis Buller, 1869
Anseriformes;Anatidae;418812;Anas marecula;;Anas marecula Olson & Jouventin, 1996
Anseriformes;Anatidae;441638;Anas melleri;Canard de Meller;Anas melleri P. L. Sclater, 1865
Anseriformes;Anatidae;416680;Anas boschas;Canard colvert;Anas platyrhynchos Linnaeus, 1758
Anseriformes;Anatidae;1966;Anas platyrhynchos;Canard colvert;Anas platyrhynchos Linnaeus, 1758
Anseriformes;Anatidae;441639;Anas rhynchotis;Canard bridé, Souchet australien;Anas rhynchotis Latham, 1801
Anseriformes;Anatidae;432703;Anas rhynchotis rhynchotis;;Anas rhynchotis rhynchotis Latham, 1801
Anseriformes;Anatidae;1968;Anas rubripes;Canard noir;Anas rubripes Brewster, 1902
Anseriformes;Anatidae;441640;Anas superciliosa;;Anas superciliosa Gmelin, 1789
Anseriformes;Anatidae;432702;Anas superciliosa pelewensis;Canard à sourcils, Canard sauvage;Anas superciliosa pelewensis Hartlaub & Finsch, 1872
Anseriformes;Anatidae;432589;Anas theodori;;Anas theodori Newton & Gadow, 1893
Anseriformes;Anatidae;2734;Anser albifrons;Oie rieuse;Anser albifrons (Scopoli, 1769)
Anseriformes;Anatidae;2736;Branta albifrons;Oie rieuse;Anser albifrons (Scopoli, 1769)
